Textbox70,Textbox69
Location:,12 - CD-CHARLESTON

MenuItemName,Cost1,AvgPrice1,Profit1,Textbox35,TargetMargin1,Textbox43,PriceNeeded1,Location,Cost,AvgPrice,Profit,ProfitPercent,TargetMargin,Variance,PriceNeeded
CD-CHARLESTON - GINGER ALE,0.78,3.00,2.22,73.8 %,0.0 %,73.8 %,0.78,CD-CHARLESTON,0.78,3.00,2.22,73.8 %,0.0 %,73.8 %,0.78
CD-CHARLESTON - OV,0.46,0.00,-0.46,-45.9 %,0.0 %,-45.9 %,0.46,CD-CHARLESTON,0.46,0.00,-0.46,-45.9 %,0.0 %,-45.9 %,0.46
CD-CHARLESTON - KID OJ,0.33,0.00,-0.33,-33.0 %,0.0 %,-33.0 %,0.33,CD-CHARLESTON,0.33,0.00,-0.33,-33.0 %,0.0 %,-33.0 %,0.33
CD-CHARLESTON - CRAN JUICE,0.35,3.00,2.65,88.5 %,0.0 %,88.5 %,0.35,CD-CHARLESTON,0.35,3.00,2.65,88.5 %,0.0 %,88.5 %,0.35
CD-CHARLESTON - FETT ALFREDO,1.15,0.00,-1.15,-114.6 %,0.0 %,-114.6 %,1.15,CD-CHARLESTON,1.15,0.00,-1.15,-114.6 %,0.0 %,-114.6 %,1.15
CD-CHARLESTON - IBC ROOT BEER,0.66,3.00,2.34,77.9 %,0.0 %,77.9 %,0.66,CD-CHARLESTON,0.66,3.00,2.34,77.9 %,0.0 %,77.9 %,0.66
CD-CHARLESTON - MAC N CHEESE,1.21,0.00,-1.21,-121.5 %,0.0 %,-121.5 %,1.21,CD-CHARLESTON,1.21,0.00,-1.21,-121.5 %,0.0 %,-121.5 %,1.21
CD-CHARLESTON - OYSTER & FLOUNDER COMBO,5.14,19.95,14.81,74.2 %,0.0 %,74.2 %,5.14,CD-CHARLESTON,5.14,19.95,14.81,74.2 %,0.0 %,74.2 %,5.14
CD-CHARLESTON - SAN PELLEGRINO,0.85,4.00,3.15,78.7 %,0.0 %,78.7 %,0.85,CD-CHARLESTON,0.85,4.00,3.15,78.7 %,0.0 %,78.7 %,0.85
CD-CHARLESTON - CALI-FLOWER,1.15,9.95,8.80,88.4 %,0.0 %,88.4 %,1.15,CD-CHARLESTON,1.15,9.95,8.80,88.4 %,0.0 %,88.4 %,1.15
CD-CHARLESTON - BL,0.38,0.00,-0.38,-38.5 %,0.0 %,-38.5 %,0.38,CD-CHARLESTON,0.38,0.00,-0.38,-38.5 %,0.0 %,-38.5 %,0.38
CD-CHARLESTON - KID SUB MASH,0.08,0.00,-0.08,-7.7 %,0.0 %,-7.7 %,0.08,CD-CHARLESTON,0.08,0.00,-0.08,-7.7 %,0.0 %,-7.7 %,0.08
CD-CHARLESTON - BROWNIE,1.40,7.95,6.55,82.3 %,0.0 %,82.3 %,1.40,CD-CHARLESTON,1.40,7.95,6.55,82.3 %,0.0 %,82.3 %,1.40
CD-CHARLESTON - OYSTER PO-BOY,6.22,14.95,8.73,58.4 %,0.0 %,58.4 %,6.22,CD-CHARLESTON,6.22,14.95,8.73,58.4 %,0.0 %,58.4 %,6.22
CD-CHARLESTON - WHOLE RSTD CHICKEN,3.92,18.95,15.03,79.3 %,0.0 %,79.3 %,3.92,CD-CHARLESTON,3.92,18.95,15.03,79.3 %,0.0 %,79.3 %,3.92
CD-CHARLESTON - BBQ RIBS-2 RACKS,4.99,25.95,20.96,80.8 %,0.0 %,80.8 %,4.99,CD-CHARLESTON,4.99,25.95,20.96,80.8 %,0.0 %,80.8 %,4.99
CD-CHARLESTON - FILET 8OZ CHOICE BC,10.11,30.95,20.84,67.3 %,0.0 %,67.3 %,10.11,CD-CHARLESTON,10.11,30.95,20.84,67.3 %,0.0 %,67.3 %,10.11
CD-CHARLESTON - ROASTE VEGE,1.67,3.75,2.08,55.4 %,0.0 %,55.4 %,1.67,CD-CHARLESTON,1.67,3.75,2.08,55.4 %,0.0 %,55.4 %,1.67
CD-CHARLESTON - KID SPRITE,0.79,0.00,-0.79,-79.0 %,0.0 %,-79.0 %,0.79,CD-CHARLESTON,0.79,0.00,-0.79,-79.0 %,0.0 %,-79.0 %,0.79
CD-CHARLESTON - KID SWT TEA,0.09,0.00,-0.09,-9.3 %,0.0 %,-9.3 %,0.09,CD-CHARLESTON,0.09,0.00,-0.09,-9.3 %,0.0 %,-9.3 %,0.09
CD-CHARLESTON - CHICKEN WINGS,3.26,11.48,8.23,71.6 %,0.0 %,71.6 %,3.26,CD-CHARLESTON,3.26,11.48,8.23,71.6 %,0.0 %,71.6 %,3.26
CD-CHARLESTON - KID WATER,0.00,0.00,0.00,0.0 %,0.0 %,0.0 %,0.00,CD-CHARLESTON,0.00,0.00,0.00,0.0 %,0.0 %,0.0 %,0.00
CD-CHARLESTON - SAUTEED ONION 4OZ,0.86,1.50,0.64,42.6 %,0.0 %,42.6 %,0.86,CD-CHARLESTON,0.86,1.50,0.64,42.6 %,0.0 %,42.6 %,0.86
CD-CHARLESTON - STEAK FRITES,5.35,20.95,15.60,74.5 %,0.0 %,74.5 %,5.35,CD-CHARLESTON,5.35,20.95,15.60,74.5 %,0.0 %,74.5 %,5.35
CD-CHARLESTON - KID COKE,0.79,0.00,-0.79,-79.0 %,0.0 %,-79.0 %,0.79,CD-CHARLESTON,0.79,0.00,-0.79,-79.0 %,0.0 %,-79.0 %,0.79
CD-CHARLESTON - & SPRITE,0.79,0.00,-0.79,-79.0 %,0.0 %,-79.0 %,0.79,CD-CHARLESTON,0.79,0.00,-0.79,-79.0 %,0.0 %,-79.0 %,0.79
CD-CHARLESTON - BROILED CHICKEN SALAD,2.18,12.95,10.77,83.2 %,0.0 %,83.2 %,2.18,CD-CHARLESTON,2.18,12.95,10.77,83.2 %,0.0 %,83.2 %,2.18
CD-CHARLESTON - 1/2 LB RED CRAB CLAWS,26.34,10.64,-15.70,-147.6 %,0.0 %,-147.6 %,26.34,CD-CHARLESTON,26.34,10.64,-15.70,-147.6 %,0.0 %,-147.6 %,26.34
CD-CHARLESTON - DIET COKE,0.79,3.00,2.21,73.7 %,0.0 %,73.7 %,0.79,CD-CHARLESTON,0.79,3.00,2.21,73.7 %,0.0 %,73.7 %,0.79
CD-CHARLESTON - SHE CRAB & HOUSE SALAD,0.95,12.95,12.00,92.6 %,0.0 %,92.6 %,0.95,CD-CHARLESTON,0.95,12.95,12.00,92.6 %,0.0 %,92.6 %,0.95
CD-CHARLESTON - CHEESECAKE,4.20,7.95,3.75,47.2 %,0.0 %,47.2 %,4.20,CD-CHARLESTON,4.20,7.95,3.75,47.2 %,0.0 %,47.2 %,4.20
CD-CHARLESTON - REDSKIN MASHED POT-SIDE,0.65,0.34,-0.31,-88.7 %,0.0 %,-88.7 %,0.65,CD-CHARLESTON,0.65,0.34,-0.31,-88.7 %,0.0 %,-88.7 %,0.65
CD-CHARLESTON - ADD AMERICAN CHEESE,0.32,0.75,0.43,57.0 %,0.0 %,57.0 %,0.32,CD-CHARLESTON,0.32,0.75,0.43,57.0 %,0.0 %,57.0 %,0.32
CD-CHARLESTON - BASKET OF CROISSANTS,1.45,5.74,4.29,74.8 %,0.0 %,74.8 %,1.45,CD-CHARLESTON,1.45,5.74,4.29,74.8 %,0.0 %,74.8 %,1.45
CD-CHARLESTON - *SAL/NO DRESS*,0.83,3.95,3.12,79.0 %,0.0 %,79.0 %,0.83,CD-CHARLESTON,0.83,3.95,3.12,79.0 %,0.0 %,79.0 %,0.83
CD-CHARLESTON - PORK CHOP,6.93,19.95,13.02,65.3 %,0.0 %,65.3 %,6.93,CD-CHARLESTON,6.93,19.95,13.02,65.3 %,0.0 %,65.3 %,6.93
CD-CHARLESTON - RED BULL,1.41,4.50,3.09,68.7 %,0.0 %,68.7 %,1.41,CD-CHARLESTON,1.41,4.50,3.09,68.7 %,0.0 %,68.7 %,1.41
CD-CHARLESTON - STEAMSPIN,0.67,0.00,-0.67,-67.2 %,0.0 %,-67.2 %,0.67,CD-CHARLESTON,0.67,0.00,-0.67,-67.2 %,0.0 %,-67.2 %,0.67
CD-CHARLESTON - XTR 1000-TO GO,0.16,0.50,0.34,68.2 %,0.0 %,68.2 %,0.16,CD-CHARLESTON,0.16,0.50,0.34,68.2 %,0.0 %,68.2 %,0.16
CD-CHARLESTON - UNSWEET TEA,0.03,3.00,2.97,99.2 %,0.0 %,99.2 %,0.03,CD-CHARLESTON,0.03,3.00,2.97,99.2 %,0.0 %,99.2 %,0.03
